date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:06	58/58	---M--	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:06%20GMT	https://www.4505burgersandbbq.com/robots.txt		(from )
11:32:06	36628/36628	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:07%20GMT	https://www.4505burgersandbbq.com/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/index.html	(from )
11:32:07	1523/1523	---M--	200	added ('OK')	image/png	etag:%227f13be7cd11cbc7f4d08a221524e20c5%22	https://media-cdn.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/accounts/media/VGBoO2VGS1WkMDLfvgZp_Roger%20(1).png	D:/MagicRestaurante/MagicRestaurante/media-cdn.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/accounts/media/VGBoO2VGS1WkMDLfvgZp_Roger%20(1).png	(from https://www.4505burgersandbbq.com/)
11:32:08	34684/34684	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Jun%202019%206:03:51%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/accounts/media/aV9AKL9zRiWDIgDP8a1I_Final_4505BurgersBBQ_Logo.png?w=1200&fit=fill&auto=compress,format&h=600&bg=EDEDF1&pad=100	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/accounts/media/aV9AKL9zRiWDIgDP8a1I_Final_4505BurgersBBQ_Logo1dd2.jpg	(from https://www.4505burgersandbbq.com/)
11:32:08	36604/36604	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2030%20Apr%202019%2018:57:30%20GMT	https://theme-assets.getbento.com/sensei/c8fe6f0.sensei/assets/js/head.min.js	D:/MagicRestaurante/MagicRestaurante/theme-assets.getbento.com/sensei/c8fe6f0.sensei/assets/js/head.min.js	(from https://www.4505burgersandbbq.com/)
11:32:09	43964/43964	---MC-	200	added ('OK')	text/javascript	date:Tue,%2021%20May%202019%2023:53:44%20GMT	https://www.google-analytics.com/analytics.js	D:/MagicRestaurante/MagicRestaurante/www.google-analytics.com/analytics.js	(from https://www.4505burgersandbbq.com/)
11:32:09	38481/38481	---M--	200	added ('OK')	image/png	date:Wed,%2015%20May%202019%2023:46:47%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/accounts/media/aV9AKL9zRiWDIgDP8a1I_Final_4505BurgersBBQ_Logo.png	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/accounts/media/aV9AKL9zRiWDIgDP8a1I_Final_4505BurgersBBQ_Logo.png	(from https://www.4505burgersandbbq.com/)
11:32:10	25380/25380	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:10%20GMT	https://www.4505burgersandbbq.com/location/san-francisco/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/location/san-francisco/index.html	(from https://www.4505burgersandbbq.com/)
11:32:10	24990/24990	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:11%20GMT	https://www.4505burgersandbbq.com/location/oakland/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/location/oakland/index.html	(from https://www.4505burgersandbbq.com/)
11:32:10	49993/49993	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:11%20GMT	https://www.4505burgersandbbq.com/menus/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/menus/index.html	(from https://www.4505burgersandbbq.com/)
11:32:11	33939/33939	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:11%20GMT	https://www.4505burgersandbbq.com/about/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/about/index.html	(from https://www.4505burgersandbbq.com/)
11:32:11	403193/403193	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20May%202019%2017:58:34%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/276924505BBQ_029.png?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/276924505BBQ_0298417.jpg	(from https://www.4505burgersandbbq.com/)
11:32:11	30289/30289	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:12%20GMT	https://www.4505burgersandbbq.com/staff/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/staff/index.html	(from https://www.4505burgersandbbq.com/)
11:32:11	47238/47238	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:12%20GMT	https://www.4505burgersandbbq.com/press/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/press/index.html	(from https://www.4505burgersandbbq.com/)
11:32:12	25245/25245	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:12%20GMT	https://www.4505burgersandbbq.com/feed-the-pig/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/feed-the-pig/index.html	(from https://www.4505burgersandbbq.com/)
11:32:12	361021/361021	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20May%202019%2017:19:45%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/953124505BBQ_005.png?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/953124505BBQ_0058417.jpg	(from https://www.4505burgersandbbq.com/)
11:32:13	25113/25113	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:13%20GMT	https://www.4505burgersandbbq.com/delivery/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/delivery/index.html	(from https://www.4505burgersandbbq.com/)
11:32:13	33987/33987	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:14%20GMT	https://www.4505burgersandbbq.com/catering/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/catering/index.html	(from https://www.4505burgersandbbq.com/)
11:32:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Jun%202019%2016:32:14%20GMT	https://www.4505burgersandbbq.com/menus	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/menus	(from https://www.4505burgersandbbq.com/)
11:32:14	313188/313188	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20May%202019%203:14:41%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/311594505BBQ_019.png?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/311594505BBQ_0198417.jpg	(from https://www.4505burgersandbbq.com/)
11:32:14	24711/24711	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:14%20GMT	https://www.4505burgersandbbq.com/news/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/news/index.html	(from https://www.4505burgersandbbq.com/)
11:32:14	30662/30662	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:15%20GMT	https://www.4505burgersandbbq.com/jobs/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/jobs/index.html	(from https://www.4505burgersandbbq.com/)
11:32:14	321531/321531	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20May%202019%2017:58:34%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/13792IMG_1102.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/13792IMG_11028417.jpg	(from https://www.4505burgersandbbq.com/)
11:32:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Jun%202019%2016:32:15%20GMT	https://www.4505burgersandbbq.com/menus	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/menus	(from https://www.4505burgersandbbq.com/)
11:32:14	27334/27334	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202019%2016:32:15%20GMT	https://www.4505burgersandbbq.com/contact/	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/contact/index.html	(from https://www.4505burgersandbbq.com/)
11:32:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Jun%202019%2016:32:16%20GMT	https://www.4505burgersandbbq.com/catering	D:/MagicRestaurante/MagicRestaurante/www.4505burgersandbbq.com/catering	(from https://www.4505burgersandbbq.com/)
11:32:16	292207/292207	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20May%202019%2014:42:44%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/723014505_bbq_catering25.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/723014505_bbq_catering258417.jpg	(from https://www.4505burgersandbbq.com/)
11:32:17	88649/88649	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202019%2021:30:09%20GMT	https://scontent.cdninstagram.com/vp/36c1dd626249665184adb417142d8625/5D97B3D4/t51.2885-15/sh0.08/e35/s640x640/60257777_176286070033145_4193088120144401279_n.jpg?_nc_ht=scontent.cdninstagram.com	D:/MagicRestaurante/MagicRestaurante/scontent.cdninstagram.com/vp/36c1dd626249665184adb417142d8625/5D97B3D4/t51.2885-15/sh0.08/e35/s640x640/60257777_176286070033145_4193088120144401279_n7d5a.jpg	(from https://www.4505burgersandbbq.com/)
11:32:18	430379/430379	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20May%202019%205:11:55%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/14070Office_1_-_4505BBQ_018.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/14070Office_1_-_4505BBQ_0188417.jpg	(from https://www.4505burgersandbbq.com/)
11:32:18	105517/105517	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202019%2002:09:34%20GMT	https://scontent.cdninstagram.com/vp/41c4a268e1fdb95e982e091640416081/5D99F553/t51.2885-15/sh0.08/e35/s640x640/60188173_198553547792407_1598476464928756084_n.jpg?_nc_ht=scontent.cdninstagram.com	D:/MagicRestaurante/MagicRestaurante/scontent.cdninstagram.com/vp/41c4a268e1fdb95e982e091640416081/5D99F553/t51.2885-15/sh0.08/e35/s640x640/60188173_198553547792407_1598476464928756084_n7d5a.jpg	(from https://www.4505burgersandbbq.com/)
11:32:19	427131/427131	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20May%202019%2017:58:34%20GMT	https://images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/34037IMG_1099.jpg?fit=max&w=1800&auto=format,compress	D:/MagicRestaurante/MagicRestaurante/images.getbento.com/accounts/97ae301c7b59ad6c97ebfcbc34795edb/media/images/34037IMG_10998417.jpg	(from https://www.4505burgersandbbq.com/)
11:32:19	80815/80815	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20May%202019%2023:18:30%20GMT	https://scontent.cdninstagram.com/vp/697246c69fe1e3369aec8e7218a9cb18/5D9990BF/t51.2885-15/sh0.08/e35/s640x640/60495097_667500923663329_618777791446931821_n.jpg?_nc_ht=scontent.cdninstagram.com	D:/MagicRestaurante/MagicRestaurante/scontent.cdninstagram.com/vp/697246c69fe1e3369aec8e7218a9cb18/5D9990BF/t51.2885-15/sh0.08/e35/s640x640/60495097_667500923663329_618777791446931821_n7d5a.jpg	(from https://www.4505burgersandbbq.com/)
